Time (ISO),Lat (deg),Lon (deg),Alt (km),Vel (km/s)
2018-04-19 00:00:00,-39.7495229449,-35.6991703663,602.607776084,7.5074275651
2018-04-19 00:01:00,-43.3614396758,-36.9938678909,605.380910915,7.50374969172
2018-04-19 00:02:00,-46.9596694978,-38.4197786412,607.772881456,7.50048632205
2018-04-19 00:03:00,-50.5415620694,-40.0141167014,609.776501837,7.49765555459
2018-04-19 00:04:00,-54.1032931792,-41.8281292514,611.386132927,7.49527367557
2018-04-19 00:05:00,-57.6392273991,-43.9343556087,612.597658956,7.49335503334
2018-04-19 00:06:00,-61.1408398238,-46.4386674908,613.408461345,7.49191192034
2018-04-19 00:07:00,-64.5947908884,-49.5009313848,613.81738769,7.49095446867
2018-04-19 00:08:00,-67.9793720919,-53.3716927536,613.824723981,7.49049054662
2018-04-19 00:09:00,-71.2574961314,-58.458669252,613.432159761,7.4905256764
2018-04-19 00:10:00,-74.3623133669,-65.4451554004,612.642755533,7.49106295858
2018-04-19 00:11:00,-77.1672204278,-75.4679842912,611.460909101,7.49210301052
2018-04-19 00:12:00,-79.4298697057,-90.1670560959,609.892321874,7.4936439186
2018-04-19 00:13:00,-80.7420770953,-110.577496112,607.943965494,7.49568120483
2018-04-19 00:14:00,-80.6905125978,-133.847927976,605.624049026,7.49820780863
2018-04-19 00:15:00,-79.292347286,-153.905083693,602.941986918,7.50121408449
2018-04-19 00:16:00,-76.9717000203,-168.240053727,599.908367863,7.50468781606
2018-04-19 00:17:00,-74.1257458777,-178.014151888,596.534922235,7.50861424992
2018-04-19 00:18:00,-70.9866459376,175.154554924,592.834502121,7.51297613318
2018-04-19 00:19:00,-67.6755307544,170.165025608,588.821039343,7.51775379538
2018-04-19 00:20:00,-64.2565982993,166.357383744,584.509526587,7.52292522231
2018-04-19 00:21:00,-60.7656552417,163.337358218,579.915988011,7.52846616053
2018-04-19 00:22:00,-57.2237967955,160.862076397,575.057452151,7.53435023721
2018-04-19 00:23:00,-53.6440821993,158.776161496,569.951924584,7.54054909776
2018-04-19 00:24:00,-50.0349496122,156.976465198,564.618359904,7.54703256042
2018-04-19 00:25:00,-46.4020559129,155.392151155,559.07663248,7.55376878753
2018-04-19 00:26:00,-42.7493176682,153.973067881,553.347505408,7.56072447224
2018-04-19 00:27:00,-39.0795267613,152.682721381,547.45259701,7.56786503969
2018-04-19 00:28:00,-35.3947291091,151.493884534,541.4143442,7.57515486132
2018-04-19 00:29:00,-31.6964634842,150.38576726,535.255957796,7.58255748543
2018-04-19 00:30:00,-27.9859301235,149.342143779,529.001393984,7.59003585249
2018-04-19 00:31:00,-24.2640832433,148.35007104,522.675278964,7.59755256745
2018-04-19 00:32:00,-20.5317156199,147.398999647,516.302868713,7.60507012752
